,SequenceA,SequenceB,Similarity,Complementarity
345,1,107,2,1
346,1,108,0,3
347,1,109,3,2
348,1,110,6,2
349,1,111,0,3
350,1,112,3,3
351,1,113,4,2
352,1,114,2,3
353,1,115,2,2
354,1,116,3,3
355,1,117,2,3
356,1,118,4,2
357,1,119,0,3
358,1,120,4,3
359,1,121,3,3
360,1,122,2,3
361,1,123,0,3
362,1,124,4,2
363,1,125,2,4
364,1,126,2,2
365,1,127,3,2
366,1,128,3,3
367,1,129,0,3
368,1,130,3,3
369,1,131,3,3
370,1,132,2,2
371,1,133,2,1
372,1,134,2,2
373,1,135,0,3
374,1,136,2,3
375,1,137,3,2
376,1,138,4,3
377,1,139,3,3
378,1,140,2,3
379,1,141,3,2
380,1,142,0,3
381,1,143,2,3
382,1,144,3,3
383,1,145,2,2
384,1,146,3,4
385,1,147,6,3
386,1,148,5,3
387,1,149,0,3
388,1,150,4,2
389,1,151,2,2
390,1,152,4,5
391,1,153,2,2
392,1,154,2,2
393,1,155,4,4
394,1,156,2,3
395,1,157,3,4
396,1,158,6,3
397,1,159,5,2
398,1,160,0,3
399,1,161,2,4
400,1,162,2,4
401,1,163,5,2
402,1,164,0,3
403,1,165,3,2
404,1,166,2,3
405,1,167,3,2
406,1,168,2,3
407,1,169,2,4
408,1,170,3,2
409,1,171,2,3
410,1,172,0,3
411,1,173,2,3
412,1,174,2,2
413,1,175,2,3
414,1,176,3,2
415,1,177,3,3
416,1,178,3,3
417,1,179,2,3
418,1,180,3,2
419,1,181,2,2
420,1,182,3,2
421,1,183,2,3
422,1,184,2,4
423,1,185,3,4
424,1,186,1,1
425,1,187,2,2
426,1,188,2,2
427,1,189,5,2
428,1,190,3,2
429,1,191,3,3
430,1,192,2,2
431,1,193,4,3
432,1,194,0,3
433,1,195,3,3
434,1,196,2,2
435,1,197,3,2
436,1,198,0,3
437,1,199,2,2
438,1,200,2,4
439,1,201,3,2
440,1,202,2,2
441,1,203,5,3
442,1,204,3,4
443,1,205,2,3
444,1,206,2,3
445,1,207,4,3
446,1,208,2,2
447,1,209,2,2
448,1,210,3,2
449,1,211,4,3
450,1,212,4,2
451,1,213,0,3
452,1,214,3,3
453,1,215,5,2
454,1,216,0,3
455,1,217,3,2
456,1,218,2,2
457,1,219,2,2
458,1,220,2,2
459,1,221,0,3
460,1,222,3,2
461,1,223,3,3
462,1,224,2,2
463,1,225,3,3
464,1,226,0,3
465,1,227,4,4
466,1,228,1,2
467,1,229,2,2
468,1,230,2,4
469,1,231,2,2
470,1,232,0,3
471,1,233,4,3
472,1,234,3,2
473,1,235,2,4
474,1,236,4,3
475,1,237,2,0
476,2,0,3,3
477,2,1,2,2
478,2,2,0,3
479,2,3,4,2
480,2,4,0,3
481,2,5,3,2
482,2,6,4,2
483,2,7,3,3
484,2,8,4,2
485,2,9,3,2
486,2,10,2,4
487,2,11,2,2
488,2,12,2,3
489,2,13,2,3
490,2,14,1,3
491,2,15,0,3
492,2,16,3,3
493,2,17,3,3
494,2,18,2,3
495,2,19,2,3
496,2,20,2,2
497,2,21,3,3
498,2,22,2,2
499,2,23,2,2
500,2,24,2,2
501,2,25,2,4
502,2,26,0,3
503,2,27,2,3
504,2,28,4,5
505,2,29,3,3
506,2,30,2,4
507,2,31,3,5
508,2,32,4,2
509,2,33,5,4
510,2,34,3,5
511,2,35,2,2
512,2,36,0,3
513,2,37,3,2
514,2,38,3,4
515,2,39,5,3
516,2,40,2,2
517,2,41,3,7
518,2,42,0,3
519,2,43,2,3
520,2,44,2,3
521,2,45,2,2
522,2,46,2,2
523,2,47,2,2
524,2,48,2,3
525,2,49,2,4
526,2,50,0,3
527,2,51,5,2
528,2,52,3,4
529,2,53,2,2
530,2,54,2,2
531,2,55,2,2
532,2,56,3,4
533,2,57,4,4
534,2,58,4,4
535,2,59,3,3
536,2,60,3,3
537,2,61,2,3
538,2,62,2,2
539,2,63,2,3
540,2,64,0,3
541,2,65,0,3
542,2,66,2,3
543,2,67,2,2
544,2,68,2,3
545,2,69,2,2
546,2,70,0,3
547,2,71,2,3
548,2,72,4,5
549,2,73,3,4
550,2,74,2,2
551,2,75,6,2
552,2,76,3,2
553,2,77,2,2
554,2,78,3,5
555,2,79,2,3
556,2,80,3,5
557,2,81,2,3
558,2,82,3,4
559,2,83,3,2
560,2,84,3,2
561,2,85,4,1
562,2,86,3,2
563,2,87,4,4
564,2,88,3,7
565,2,89,2,2
566,2,90,3,5
567,2,91,2,2
568,2,92,2,2
569,2,93,3,3
570,2,94,3,3
571,2,95,2,5
572,2,96,2,2
573,2,97,2,2
574,2,98,2,3
575,2,99,2,3
576,2,100,2,3
577,2,101,2,3
578,2,102,2,2
579,2,103,4,5
580,2,104,4,2
581,2,105,0,3
582,2,106,2,2
583,2,107,4,2
584,2,108,3,2
585,2,109,3,3
586,2,110,3,2
587,2,111,2,4
588,2,112,3,1
589,2,113,0,3
590,2,114,5,3
591,2,115,2,2
592,2,116,0,3
593,2,117,0,3
594,2,118,0,3
595,2,119,2,2
596,2,120,3,4
597,2,121,4,3
598,2,122,0,3
599,2,123,3,2
600,2,124,3,3
601,2,125,0,3
602,2,126,0,3
603,2,127,6,2
604,2,128,3,3
605,2,129,3,2
606,2,130,2,3
607,2,131,3,3
608,2,132,2,2
609,2,133,0,3
610,2,134,5,3
611,2,135,3,4
612,2,136,2,3
613,2,137,3,2
614,2,138,2,2
615,2,139,3,3
616,2,140,2,2
617,2,141,2,2
618,2,142,2,2
619,2,143,2,3
620,2,144,3,2
621,2,145,0,3
622,2,146,2,3
623,2,147,3,3
624,2,148,3,2
625,2,149,3,2
626,2,150,2,4
627,2,151,4,5
628,2,152,3,3
629,2,153,3,2
630,2,154,3,2
631,2,155,2,3
632,2,156,3,3
633,2,157,3,4
634,2,158,2,2
635,2,159,3,5
636,2,160,2,2
637,2,161,2,2
638,2,162,3,3
639,2,163,3,7
640,2,164,2,3
641,2,165,4,4
642,2,166,4,4
643,2,167,3,3
644,2,168,3,2
645,2,169,4,3
646,2,170,3,2
647,2,171,0,3
648,2,172,2,2
649,2,173,2,2
650,2,174,3,2
651,2,175,2,2
652,2,176,4,2
653,2,177,4,8
654,2,178,4,3
655,2,179,3,3
656,2,180,3,4
657,2,181,3,2
658,2,182,6,2
659,2,183,2,4
660,2,184,2,3
661,2,185,3,3
662,2,186,3,2
663,2,187,2,5
664,2,188,0,3
665,2,189,0,3
666,2,190,4,4
667,2,191,2,2
668,2,192,2,2
669,2,193,2,6
670,2,194,3,3
671,2,195,4,3
672,2,196,2,2
673,2,197,3,3
674,2,198,3,2
675,2,199,2,4
676,2,200,4,3
677,2,201,4,2
678,2,202,4,4
679,2,203,3,2
680,2,204,6,3
681,2,205,2,2
682,2,206,3,2
683,2,207,3,3
684,2,208,0,3
685,2,209,2,2
686,2,210,0,3
687,2,211,3,3
688,2,212,2,2
689,2,213,2,2
690,2,214,5,4
691,2,215,3,4
692,2,216,7,3
693,2,217,3,4
694,2,218,3,2
695,2,219,2,2
696,2,220,3,2
697,2,221,3,3
698,2,222,0,3
699,2,223,3,5
700,2,224,2,0
701,2,225,3,3
702,2,226,2,4
703,2,227,3,2
704,2,228,0,3
705,2,229,2,3
706,2,230,2,2
707,2,231,0,3
708,2,232,4,4
709,2,233,2,2
710,2,234,0,3
711,2,235,0,3
712,2,236,3,3
713,2,237,2,2
714,3,0,3,3
715,3,1,0,3
716,3,2,4,2
717,3,3,0,3
718,3,4,3,1
719,3,5,0,3
720,3,6,3,6
721,3,7,5,2
722,3,8,2,2
723,3,9,3,2
724,3,10,0,3
725,3,11,2,1
726,3,12,4,2
727,3,13,2,2
728,3,14,2,4
729,3,15,2,4
730,3,16,0,3
731,3,17,3,2
732,3,18,2,3
733,3,19,3,2
734,3,20,2,2
735,3,21,2,1
736,3,22,3,4
737,3,23,2,1
738,3,24,2,2
739,3,25,2,2
740,3,26,2,1
741,3,27,1,2
742,3,28,2,2
743,3,29,3,2
744,3,30,2,2
745,3,31,3,2
746,3,32,3,2
747,3,33,4,3
748,3,34,4,2
749,3,35,2,3
750,3,36,1,2
751,3,37,3,4
752,3,38,2,3
753,3,39,2,2
754,3,40,2,3
755,3,41,2,2
756,3,42,2,2
757,3,43,4,2
758,3,44,1,2
759,3,45,4,3
760,3,46,2,2
761,3,47,2,4
762,3,48,4,3
763,3,49,2,2
764,3,50,3,2
765,3,51,3,3
766,3,52,0,3
767,3,53,1,2
768,3,54,2,2
769,3,55,1,2
770,3,56,2,1
771,3,57,0,3
772,3,58,3,3
773,3,59,3,2
774,3,60,0,3
775,3,61,0,3
776,3,62,1,2
777,3,63,1,3
778,3,64,2,2
779,3,65,3,4
780,3,66,3,2
781,3,67,1,1
782,3,68,3,4
783,3,69,0,3
784,3,70,3,2
785,3,71,2,2
786,3,72,3,2
787,3,73,0,3
788,3,74,0,3
789,3,75,3,3
790,3,76,2,2
791,3,77,2,4
792,3,78,3,3
793,3,79,2,3
794,3,80,3,3
795,3,81,2,3
796,3,82,2,3
797,3,83,1,3
798,3,84,2,2
799,3,85,3,2
800,3,86,3,1
801,3,87,3,3
802,3,88,2,2
803,3,89,1,4
804,3,90,3,1
805,3,91,2,2
806,3,92,0,3
807,3,93,3,2
808,3,94,1,3
809,3,95,3,3
810,3,96,2,3
811,3,97,0,3
812,3,98,0,3
813,3,99,8,3
814,3,100,3,3
815,3,101,3,1
816,3,102,2,1
817,3,103,2,3
818,3,104,2,1
819,3,105,3,2
820,3,106,2,5
821,3,107,1,3
822,3,108,0,3
823,3,109,2,3
824,3,110,2,3
825,3,111,0,3
826,3,112,3,6
827,3,113,3,2
828,3,114,4,3
829,3,115,4,2
830,3,116,2,4
831,3,117,2,1
832,3,118,2,3
833,3,119,0,3
834,3,120,2,3
835,3,121,3,4
836,3,122,2,3
837,3,123,0,3
838,3,124,2,2
839,3,125,2,1
840,3,126,2,3
841,3,127,3,3
842,3,128,2,2
843,3,129,0,3
844,3,130,2,3
845,3,131,3,2
846,3,132,3,1
847,3,133,1,4
848,3,134,2,3
849,3,135,0,3
850,3,136,3,2
851,3,137,3,3
852,3,138,3,3
853,3,139,5,2
854,3,140,3,4
855,3,141,2,3
856,3,142,0,3
857,3,143,3,4
858,3,144,3,2
859,3,145,3,3
860,3,146,2,2
861,3,147,2,2
862,3,148,3,2
863,3,149,0,3
864,3,150,3,3
865,3,151,2,2
866,3,152,3,2
867,3,153,2,2
868,3,154,2,3
869,3,155,3,3
870,3,156,3,4
871,3,157,2,3
872,3,158,2,2
873,3,159,3,2
874,3,160,0,3
875,3,161,1,1
876,3,162,2,2
877,3,163,2,2
878,3,164,0,3
879,3,165,3,3
880,3,166,3,2
881,3,167,4,2
882,3,168,3,3
883,3,169,4,2
884,3,170,3,2
885,3,171,2,3
886,3,172,0,3
887,3,173,2,1
888,3,174,1,1
889,3,175,2,1
890,3,176,2,3
891,3,177,3,2
892,3,178,3,2
893,3,179,2,4
894,3,180,3,1
895,3,181,2,2
896,3,182,4,1
897,3,183,3,4
898,3,184,4,2
899,3,185,5,3
900,3,186,1,2
901,3,187,2,4
902,3,188,2,2
903,3,189,2,2
904,3,190,3,1
905,3,191,1,2
906,3,192,3,2
907,3,193,2,4
908,3,194,0,3
909,3,195,2,3
910,3,196,2,3
911,3,197,2,4
912,3,198,0,3
913,3,199,3,4
914,3,200,5,2
915,3,201,4,3
916,3,202,3,2
917,3,203,3,1
918,3,204,2,3
919,3,205,3,2
920,3,206,3,2
921,3,207,2,2
922,3,208,2,2
923,3,209,4,6
924,3,210,4,3
925,3,211,4,2
926,3,212,3,3
927,3,213,0,3
928,3,214,2,3
929,3,215,4,2
930,3,216,0,3
931,3,217,3,2
932,3,218,4,2
933,3,219,2,3
934,3,220,3,2
935,3,221,0,3
936,3,222,3,3
937,3,223,2,3
938,3,224,2,3
939,3,225,2,3
940,3,226,0,3
941,3,227,3,2
942,3,228,3,2
943,3,229,3,7
944,3,230,1,1
945,3,231,2,4
946,3,232,0,3
947,3,233,2,3
948,3,234,2,4
949,3,235,4,2
950,3,236,8,2
951,3,237,3,1
952,4,0,2,2
953,4,1,2,3
954,4,2,0,3
955,4,3,3,1
956,4,4,0,3
957,4,5,3,2
958,4,6,3,2
959,4,7,3,5
960,4,8,2,2
961,4,9,3,3
962,4,10,3,3
963,4,11,2,5
964,4,12,3,3
965,4,13,2,1
966,4,14,4,5
967,4,15,0,3
968,4,16,2,2
969,4,17,3,3
970,4,18,2,3
971,4,19,1,3
972,4,20,4,3
973,4,21,4,2
974,4,22,3,3
975,4,23,1,3
976,4,24,3,2
977,4,25,3,4
978,4,26,0,3
979,4,27,5,5
980,4,28,4,1
981,4,29,3,2
982,4,30,4,3
983,4,31,2,2
984,4,32,3,3
985,4,33,3,2
986,4,34,2,1
987,4,35,3,2
988,4,36,0,3
989,4,37,3,3
990,4,38,3,3
991,4,39,1,3
992,4,40,2,3
993,4,41,3,2
994,4,42,0,3
995,4,43,1,4
996,4,44,2,2
997,4,45,3,3
998,4,46,1,2
999,4,47,1,4
1000,4,48,2,2
1001,4,49,3,2
1002,4,50,0,3
1003,4,51,2,2
1004,4,52,3,5
1005,4,53,6,2
1006,4,54,2,2
1007,4,55,4,2
1008,4,56,2,3
1009,4,57,2,2
1010,4,58,6,2
1011,4,59,3,2
1012,4,60,2,2
1013,4,61,2,2
1014,4,62,4,1
1015,4,63,2,3
1016,4,64,0,3
1017,4,65,0,3
1018,4,66,2,2
1019,4,67,6,3
1020,4,68,3,2
1021,4,69,1,2
1022,4,70,0,3
1023,4,71,3,3
1024,4,72,3,1
1025,4,73,3,1
1026,4,74,1,2
1027,4,75,2,2
1028,4,76,3,1
1029,4,77,3,1
1030,4,78,2,3
1031,4,79,1,2
1032,4,80,3,2
1033,4,81,3,3
1034,4,82,3,1
1035,4,83,2,3
1036,4,84,2,3
1037,4,85,1,2
1038,4,86,3,3
1039,4,87,2,5
1040,4,88,3,2
1041,4,89,3,2
1042,4,90,3,2
1043,4,91,2,1
1044,4,92,4,1
1045,4,93,5,4
1046,4,94,2,2
1047,4,95,3,2
1048,4,96,1,3
1049,4,97,3,3
1050,4,98,5,2
1051,4,99,3,3
1052,4,100,3,3
1053,4,101,2,2
1054,4,102,3,2
1055,4,103,3,3
1056,4,104,4,3
1057,4,105,0,3
1058,4,106,1,3
1059,4,107,3,1
1060,4,108,3,2
1061,4,109,4,2
1062,4,110,1,3
1063,4,111,2,3
1064,4,112,1,2
1065,4,113,0,3
1066,4,114,3,2
1067,4,115,2,2
1068,4,116,0,3
1069,4,117,0,3
1070,4,118,0,3
1071,4,119,3,2
1072,4,120,1,2
1073,4,121,2,3
1074,4,122,0,3
1075,4,123,2,2
1076,4,124,2,3
1077,4,125,0,3
1078,4,126,0,3
1079,4,127,3,2
1080,4,128,2,1
1081,4,129,5,3
1082,4,130,3,4
1083,4,131,2,5
1084,4,132,2,6
1085,4,133,0,3
1086,4,134,2,2
1087,4,135,2,2
1088,4,136,3,4
1089,4,137,2,2
1090,4,138,2,3
1091,4,139,3,4
1092,4,140,3,2
1093,4,141,2,3
1094,4,142,2,2
1095,4,143,1,2
1096,4,144,3,2
1097,4,145,0,3
1098,4,146,4,3
1099,4,147,2,3
1100,4,148,2,4
1101,4,149,2,3
1102,4,150,4,2
1103,4,151,4,3
1104,4,152,3,1
1105,4,153,2,3
1106,4,154,2,2
1107,4,155,2,2
1108,4,156,3,2
1109,4,157,3,2
1110,4,158,3,2
1111,4,159,2,3
1112,4,160,3,5
1113,4,161,3,3
1114,4,162,2,2
1115,4,163,2,2
1116,4,164,1,2
1117,4,165,3,4
1118,4,166,4,2
1119,4,167,2,2
1120,4,168,2,4
1121,4,169,2,3
1122,4,170,2,3
1123,4,171,0,3
1124,4,172,3,2
1125,4,173,2,2
1126,4,174,3,3
1127,4,175,3,3
1128,4,176,1,2
1129,4,177,1,3
1130,4,178,3,4
1131,4,179,3,2
1132,4,180,2,3
1133,4,181,3,2
1134,4,182,3,5
1135,4,183,3,2
1136,4,184,4,2
1137,4,185,4,2
1138,4,186,4,3
1139,4,187,3,2
1140,4,188,0,3
1141,4,189,0,3
1142,4,190,1,4
1143,4,191,6,2
1144,4,192,1,2
1145,4,193,2,2
1146,4,194,3,5
1147,4,195,3,2
1148,4,196,2,2
1149,4,197,3,4
1150,4,198,2,2
1151,4,199,5,2
1152,4,200,3,2
1153,4,201,3,2
1154,4,202,3,3
1155,4,203,2,2
1156,4,204,3,2
1157,4,205,2,4
1158,4,206,3,3
1159,4,207,4,2
1160,4,208,0,3
1161,4,209,5,2
1162,4,210,0,3
1163,4,211,2,4
1164,4,212,2,1
1165,4,213,2,3
1166,4,214,1,2
1167,4,215,2,1
1168,4,216,2,2
1169,4,217,3,2
1170,4,218,2,3
1171,4,219,1,1
1172,4,220,2,2
1173,4,221,2,2
1174,4,222,0,3
1175,4,223,2,2
1176,4,224,2,0
1177,4,225,2,2
1178,4,226,2,4
1179,4,227,4,3
1180,4,228,0,3
1181,4,229,3,2
1182,4,230,3,3
1183,4,231,0,3
1184,4,232,6,3
1185,4,233,3,3
1186,4,234,0,3
1187,4,235,0,3
1188,4,236,1,1
1189,4,237,3,3
1190,5,0,1,1
1191,5,1,0,3
1192,5,2,3,2
1193,5,3,0,3
1194,5,4,3,2
1195,5,5,0,3
1196,5,6,3,1
1197,5,7,7,2
1198,5,8,3,2
1199,5,9,5,2
1200,5,10,0,3
1201,5,11,3,2
1202,5,12,2,5
1203,5,13,1,2
1204,5,14,1,2
1205,5,15,2,3
1206,5,16,0,3
1207,5,17,2,3
1208,5,18,1,3
1209,5,19,3,2
1210,5,20,2,2
1211,5,21,1,1
1212,5,22,2,4
1213,5,23,2,1
1214,5,24,2,3
1215,5,25,2,5
1216,5,26,4,1
1217,5,27,1,2
1218,5,28,3,3
1219,5,29,3,1
1220,5,30,2,3
1221,5,31,3,2
1222,5,32,3,3
1223,5,33,2,2
1224,5,34,2,2
1225,5,35,2,3
1226,5,36,1,4
1227,5,37,4,2
1228,5,38,4,3
1229,5,39,2,4
1230,5,40,1,3
1231,5,41,4,1
1232,5,42,2,3
1233,5,43,3,4
1234,5,44,2,2
1235,5,45,4,6
1236,5,46,2,4
1237,5,47,2,3
1238,5,48,3,2
1239,5,49,2,3
1240,5,50,3,2
1241,5,51,3,3
1242,5,52,0,3
1243,5,53,1,3
1244,5,54,1,3
1245,5,55,1,1
1246,5,56,4,3
1247,5,57,0,3
1248,5,58,2,2
1249,5,59,3,2
1250,5,60,0,3
1251,5,61,0,3
1252,5,62,1,4
1253,5,63,2,2
1254,5,64,3,3
1255,5,65,2,2
1256,5,66,3,3
1257,5,67,1,2
1258,5,68,2,3
1259,5,69,0,3
1260,5,70,2,1
1261,5,71,2,3
1262,5,72,3,2
1263,5,73,0,3
1264,5,74,0,3
1265,5,75,2,1
1266,5,76,2,4
1267,5,77,2,3
1268,5,78,3,3
1269,5,79,4,2
1270,5,80,3,2
1271,5,81,2,2
1272,5,82,4,2
1273,5,83,4,4
1274,5,84,4,3
1275,5,85,3,3
1276,5,86,2,1
1277,5,87,1,2
1278,5,88,3,2
1279,5,89,2,2
1280,5,90,3,2
1281,5,91,2,4
1282,5,92,0,3
1283,5,93,4,2
1284,5,94,1,1
1285,5,95,2,3
1286,5,96,2,4
1287,5,97,0,3
1288,5,98,0,3
1289,5,99,4,3
1290,5,100,2,3
1291,5,101,2,2
1292,5,102,1,2
1293,5,103,2,3
1294,5,104,3,1
1295,5,105,2,2
1296,5,106,2,4
1297,5,107,3,3
1298,5,108,0,3
1299,5,109,4,3
1300,5,110,2,3
1301,5,111,0,3
1302,5,112,5,3
1303,5,113,2,2
1304,5,114,3,3
1305,5,115,2,1
1306,5,116,2,2
1307,5,117,2,4
1308,5,118,2,2
1309,5,119,0,3
1310,5,120,2,2
1311,5,121,2,2
1312,5,122,4,2
1313,5,123,0,3
1314,5,124,5,2
1315,5,125,3,2
1316,5,126,3,2
1317,5,127,3,1
1318,5,128,4,1
1319,5,129,0,3
1320,5,130,2,4
1321,5,131,2,3
1322,5,132,2,1
1323,5,133,4,1
1324,5,134,2,4
1325,5,135,0,3
1326,5,136,3,4
1327,5,137,4,2
1328,5,138,4,2
1329,5,139,5,2
1330,5,140,4,3
1331,5,141,2,2
1332,5,142,0,3
1333,5,143,3,2
1334,5,144,2,2
1335,5,145,5,2
1336,5,146,2,2
1337,5,147,3,5
1338,5,148,4,2
1339,5,149,0,3
1340,5,150,2,3
1341,5,151,3,2
1342,5,152,4,3
1343,5,153,3,1
1344,5,154,3,1
1345,5,155,2,2
1346,5,156,3,3
1347,5,157,4,2
1348,5,158,2,2
1349,5,159,2,2
1350,5,160,0,3
1351,5,161,2,1
1352,5,162,2,2
1353,5,163,3,2
1354,5,164,0,3
1355,5,165,3,2
1356,5,166,3,2
1357,5,167,4,2
1358,5,168,4,2
